City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Jumla,NP,50.29,clear sky,29.2747,82.1838,Royal Garden Hotel
541,Livingston,GB,55.13,overcast clouds,55.9029,-3.5226,Mercure Livingston Hotel
547,Colac,AU,51.84,broken clouds,-38.3333,143.5833,Otway Gate Motel
548,Genhe,CN,54.64,scattered clouds,50.7833,121.5167,Companionship Hotel
550,Drochia,MD,43.79,few clouds,48.035,27.8161,Hotel Confort Drochia
551,Rio Gallegos,AR,45.97,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
553,Hay River,CA,36.75,light rain,60.8156,-115.7999,Ptarmigan Inn
566,Bialystok,PL,42.96,few clouds,53.1333,23.15,Hotel Podlasie
568,Bada,RU,58.84,scattered clouds,51.392,109.8717,Kafe Gostinitsa
569,Cochrane,CA,56.62,scattered clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
572,Kamyaran,IR,52.3,clear sky,34.7956,46.9355,هتل آپارتمان وخانه معلم
576,Kirensk,RU,56.95,light rain,57.7853,108.1119,Kirenskiy Plos
580,Santa Cruz,BO,58.44,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
583,Draganesti-Vlasca,RO,45.36,scattered clouds,44.1014,25.5981,IVAN
586,Diamantino,BR,56.32,scattered clouds,-14.4086,-56.4461,Hotel Delta
591,Rosario,AR,52.99,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
592,Salta,AR,51.58,overcast clouds,-24.7859,-65.4117,Hotel Alejandro I
593,Tara,RU,51.76,overcast clouds,56.8944,74.371,Medved'
597,Sydney,AU,56.35,few clouds,-33.8679,151.2073,The Grace Sydney
598,Ereymentau,KZ,52.74,few clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
599,Orsha,BY,40.87,scattered clouds,54.5153,30.4053,Rudakovo Hotel
600,Svetlogorsk,BY,42.15,few clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
601,Pskov,RU,44.31,overcast clouds,57.8136,28.3496,Zolotaya Naberezhnaya
608,Korocha,RU,48.92,clear sky,50.8107,37.1953,Dubravushka
613,Magdagachi,RU,51.1,clear sky,53.45,125.8,Motopolyana Magdagachi
615,Lohja,FI,49.17,overcast clouds,60.2486,24.0653,Koivulan Kartano
617,Vaxjo,SE,50.05,few clouds,56.8777,14.8091,Elite Stadshotellet Vaxjo
618,Songjianghe,CN,56.66,clear sky,42.1859,127.479,Sijisheng Fashion Guest House
620,Menongue,AO,54.09,clear sky,-14.6585,17.691,Ritz Lauca
621,Pyaozerskiy,RU,32.63,scattered clouds,65.8333,31.1667,Taratuga
627,Pastavy,BY,40.01,scattered clouds,55.1168,26.8326,Mini gostinitca Shirki
639,Deputatskiy,RU,27.18,overcast clouds,69.3,139.9,Baza Otdykha
642,Suntar,RU,44.6,light rain,62.1444,117.6319,Гостевая квартира
646,Aberystwyth,GB,54.9,overcast clouds,52.4155,-4.0829,Aberystwyth Park Lodge Hotel
651,Talnakh,RU,33.21,light snow,69.4865,88.3972,Talnakh Hotel
669,Atherton,GB,56.28,overcast clouds,53.5237,-2.4935,The Mercury Motel
679,Suksun,RU,40.55,broken clouds,57.1431,57.3949,Island Relax
683,Jelgava,LV,42.84,broken clouds,56.65,23.7128,Hotel Jelgava
