City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Gamba,GA,-2.65,10.0,77.88,83,98,8.12,overcast clouds
177,Garowe,SO,8.4054,48.4845,78.49,65,61,21.74,broken clouds
178,Omboue,GA,-1.5746,9.2618,77.61,87,85,8.9,overcast clouds
179,Muros,ES,42.7762,-9.0603,58.15,92,65,2.82,broken clouds
180,Codrington,AU,-38.2667,141.9667,55.24,66,52,10.2,broken clouds
181,Tuatapere,NZ,-46.1333,167.6833,51.84,76,53,9.48,broken clouds
182,Plessisville,CA,46.2186,-71.762,58.08,65,41,4.56,scattered clouds
183,Kieta,PG,-6.2167,155.6333,84.58,67,10,3.09,clear sky
184,La Rioja,ES,42.25,-2.5,64.18,60,100,1.74,overcast clouds
185,Dongsheng,CN,39.8161,109.9776,60.94,30,97,10.2,overcast clouds
186,Aklavik,CA,68.2191,-135.0107,33.69,89,99,12.46,overcast clouds
187,Iringa,TZ,-7.7667,35.7,50.99,93,81,6.44,broken clouds
188,Olafsvik,IS,64.8945,-23.7142,44.78,92,100,14.58,overcast clouds
189,Storm Lake,US,42.6411,-95.2097,83.16,24,0,10.36,clear sky
190,Rossosh,RU,51.1209,38.5116,44.15,93,7,7.83,clear sky
191,Yellowknife,CA,62.456,-114.3525,51.57,20,4,18.99,clear sky
192,Erenhot,CN,43.6475,111.9767,63.45,28,75,11.79,broken clouds
193,Dodge City,US,37.7528,-100.0171,89.22,42,48,8.01,scattered clouds
194,Miyako,JP,39.6367,141.9525,66.06,42,0,5.44,clear sky
195,Belawan,ID,3.7755,98.6832,77.29,88,100,3.6,overcast clouds
196,Atbasar,KZ,51.8,68.3333,50.67,71,51,10.67,broken clouds
197,Jining,CN,35.405,116.5814,73.99,1,88,9.66,overcast clouds
198,Balkanabat,TM,39.5108,54.3671,73.92,47,8,3.83,clear sky
199,Nador,MA,35.174,-2.9287,68.25,88,0,3.44,clear sky
200,Gornorechenskiy,RU,44.2624,135.1133,61.36,43,25,1.01,scattered clouds
201,Cairns,AU,-16.9167,145.7667,78.06,85,75,8.05,broken clouds
202,Brits,ZA,-25.6347,27.7802,56.28,61,24,2.8,few clouds
203,Vidim,RU,56.4088,103.1106,57.47,78,99,4.76,overcast clouds
204,Puerto Maldonado,PE,-12.6,-69.1833,67.12,53,100,3.09,overcast clouds
